Ubicación;Código;MATERIAL;1 LECTURA;2 LECTURAS;DESCRIPCIÓN
VERTEDERO;2271071;BOLSA ESTERILIZACIÓN 32X60CM;20;40;BLS MIXTA 32X60CM
M08/B10/00;2139472;BOLSA ILEOSTOMÍA ABIERTA 50MM;30;60;BLS ILEOST ABIERTA 50MM
M08/B13/00;2244528;BOLSA ILEOSTOMÍA ABIERTA 60MM;30;60;BLS ILEOST TRANSPAR..60MM ESTOMA 10-55MM
M09/B06/00;2206466;BOLSA ORINA PARA CAJETIN SIN GRIFO;200;400;BLS RECAMBIO S/GRIF..Q CTRL HORARIO 1,5L
VERTEDERO;2139734;BOLSA P/ENEMA IRRIGACIÓN 1,5L;2;4;BLS LAVADO-IRRIGACION 1,5L
M16/B03/00;5039281;BOLSA PLÁSTICO GRANDE;100;200;BOLSA PLASTICO C/CIERRE 12X18
M16/B03/00;5038126;BOLSA PLÁSTICO MEDIANA;100;200;BOLSA PLASTICO CIERRE HEMETICO 10X14,5
M16/B03/00;5131445;BOLSA PLÁSTICO PEQUEÑA;100;200;BOLSA PLAST.TRANSP.7X10 C/AUTOCIERRE
VERTEDERO;1000040;BOLSA ROJA RESÍDUOS BIOLÓGICOS;20;40;BOL.PL.RESID.ESPEC.II 85X100 G400 ROJA
M09/B08/00;2139423;BOLSA SNG;25;50;BLS ORINA/SECRECIONES N/ EST 2L
M08/B07/00;2253685;BOLSA UROSTOMÍA 40MM;30;60;BLS UROSTOMIA TRANS..40MM ESTOMA 10-35MM
M08/B12/00;2237523;BOLSA UROSTOMÍA 60MM;30;60;BLS UROSTOMIA TRANS..60MM ESTOMA 10-55MM
M10/B04/00;2236457;BOLSAS TRITURADOR PASTILLAS;50;100;BLS P/ TRITURADOR PASTILLAS
M05/B03/00;2138633;BOQUILLA ASPIRADOR YANKAUER;5;10;BOQUILLA ASPIRADOR YANKAUER
M05/B03/00;2138632;BOQUILLA ASPIRADOR YANKAUER S/CONTROL;5;10;BOQUILLA ASPIRADOR YANKAUER S/CONTROL
LENCERIA;2302912;BRAGA MALLA ABSORBENTE GINE;100;200;MLL SUJECION ABSORBENTE T- XL
VERTEDERO;1704601;CABEZAL MÁQUINA RASURAR;2;4;CBZ DESECH P/ RASURADORA ELECTRICA
M16/B02/00;2142267;CAJA BLANCA CON TAPA P/DENTADURA;2;4;FRSC BIOP BOCA ANCHA 500ML
M09/B09/00;2139659;CAJETIN HORARIO ORINA BRAUN;8;16;ST MEDIDOR DIURESIS..S C/ GRIFO 2L 120CM
LENCERIA;2142638;CALZAS;200;400;CALZA CUBRE ZAPATO TNT
M04/B10/00;2318858;CÁMARA PARA INHALADOR VOLUMATIC;1;2;CAM INHALACION UNIV CHAMBER
TRQ-4;2139984;CANULA CON BALON TRAQUEO 4;3;CALLE;CANULA TRAQUEOSTOMIA C/BALON PVC C/CANULA INTERNA N4
TRQ-4;2255637;CANULA INTERNA MACHO 6,5;10;CALLE;CAMISA INTERNA PVC RECAMBIO PARA TRAQUEOSTOMIA N6,5
TRQ-3;2139981;CANULA MACHO 10CN10A;5;10;CAMISA INT PVC RECAMBIO P/ TRAQUEOST N10
TRQ-3;2139978;CANULA MACHO 6IC75;10;20;CAMISA INT PVC RECA..O P/ TRAQUEOST N7,5
TRQ-2;2139892;CANULA MACHO 8IC85;15;30;CAMISA INT PVC RECA..O P/ TRAQUEOST N8,5
M03/B04/00;2151063;CÁNULA NASAL OXÍGENO - GAFAS NASALES;25;50;CAN NASAL P/ OXIGENO APROX. 2M
TRQ-5;2208999;CANULA SILICONA TRAQUEO 5;5;CALLE;CANULA TRAQUEOSTOMIA S/FENESTRAR SILICONA EXTRALARGA 11X76MM N5
TRQ-5;2253021;CANULA SILICONA TRAQUEO 8;5;CALLE;CANULA TRAQUEOSTOMIA NO FENESTRADA SILICONA 14X82MM N8
M05/B04;2145003;CANULA VAMA;10;CALLE;CANULA VAMA INTUBACION FIBROSCOPICA
OFICINA;1102309;CARPETA 4 ANILLAS CAPA AZUL TRASLUCIDA;2;4;CARPETA 4 ANILLAS T..TRASLUCIDO 25MM AZL
M12/B03;2104237;CATETER ARTERIAL FEMORAL 12CM;40;CALLE;CATETER ARTERIAL RADIAL 18G 12CM
M18/B03;2206475;CATETER ARTERIAL RADIAL 5CM;290;CALLE;EQUIPO CATETERIZACION ARTERIAL 20G 5CM
M18/B06/00;2254360;CATETER CENTRAL CVC 30CM FEMORAL 2 LUCES;2;4;EQ CAT VEN CENT YUG..LUCES SEGUR 7F 30CM
M18/B06/00;2254361;CATETER CENTRAL CVC 30CM FEMORAL 3 LUCES;2;4;EQ CAT VEN CENT YUG..LUCES SEGUR 7F 30CM
M18/B02/00;2347991;CATÉTER EPIDURAL C/FILTRO;10;CALLE;EQ ANEST EPIDURAL CONEXION NRFIT 18G
M01/B02;2102033;CATETER PIC;10;CALLE;CATETER PRESION INTRACRANEAL INTRAVENTRICULAR
M04/B03;2104500;CATETER PLEURAL SELDINGER 8F PLEURECATH;10;CALLE;CATETER DRENAJE PLEURAL SELDINGER 8F 40CM
M04/B02;2208345;CATETER TORACICO SELDINGER 16F;3;CALLE;EQUIPO CATETER TORACICO 4 ORIFICIOS LATERALES 16F 41CM
M04/B02;2140178;CATETER TORACICO SELDINGER 18F;3;CALLE;EQUIPO CATETER TORACICO 4 ORIFICIOS LATERALES 18F 41CM
M04/B02;2233023;CATETER TORACICO SELDINGER 20F;3;CALLE;EQUIPO CATETER TORACICO 4 ORIFICIOS LATERALES 20F 41CM
M17/B05/00;2338290;CATETER VENOSO PERIFÉRICO 16G;10;20;CAT PERI CRT C/SEG C/V.ANTIRREF 16G 50MM
M17/B06/00;2202601;CATETER VENOSO PERIFÉRICO CVP  18G;50;100;CAT PERI CRT C/SEG C/V.ANTIRREF 18G 32MM
M17/B06/00;2202600;CATETER VENOSO PERIFÉRICO CVP  20G;50;100;CAT PERI CRT C/SEG C/V.ANTIRREF 20G 32MM
M17/B05/00;2202599;CATETER VENOSO PERIFÉRICO CVP  22G;25;50;CAT PERI CRT C/SEG C/V.ANTIRREF 22G 25MM
EST4-3;5213077;CELULOSAS;1170;2340;TOALLITA CELULOSA TEJ S/ TEJER 40X27CM
M16/B03/00;2255129;CEPILLO CLORHEXIDINA;15;30;CEPILLO QUIR ANTISE..NOS CLORHEXIDINA 4%
VERTEDERO;5034861;CEPILLO PELO;2;4;CEPILLO PELO
OFICINA;1102373;CINTA DYMO BLANCA;5;10;CINTA ROTULAR DYMO NGR BL 12MMX7M
TRQ-1;5177700;CINTA TRAQUEOSTOMÍA CRISTAL ROLLO;1;2;CINTA CRISTAL BL Nº6 (100 METROS)
OFICINA;1102109;CLIP FOLIOS;5;10;CLIP LABIADO GALVANIZADO Nº 3 C/100
VERTEDERO;5034860;COLONIA 1L;2;4;COLONIA 1L
M09/B05/00;2112943;COMBURTEST TIRAS REACTIVAS ORINA;100;200;TIRA ORINA DET. 7 PARAMETROS
LENCERIA;2143956;COMPRESA GINECOLÓGICA;25;50;CMPRS TOCOLOGICA N/ ADH 10X30CM
M14/B08/00;2141396;COMPRESAS ESTÉRILES 10X20;102;204;CMPRS EST TNT S/CRX..PLEGADA 10X20CM B/2
M17/B05/00;2335421;COMPRESOR GOMA HEMOSTASIA;10;20;GOMA HEMOSTASIA 0,8X18X500MM
M09/B03/00;2138661;CONECTOR DRENAJE PIGTAIL O CATETER URETERAL;4;8;CONEXION P/ SND AJUSTABLE EST
M10/B05/00;2254730;CONECTOR ENFIT PARA EQUIPO NUTRICIÓN ENTERAL;10;20;CONECT NUTRICION ENTERAL ENFIT ENLOCK
M10/B05/00;2255471;CONECTOR P/JERINGA ENFIT NUTRICIÓN ENTERAL;10;20;CONECT JERINGA NUTR..ER A CONEXION ENFIT
M10/B05/00;2138671;CONECTOR SNG TRANSPARENTE;10;20;CONECT 5 EN 1 TRANSPARENTE EST 6,3-11CM
M03/B03/00;2202033;CONEXIÓN RECTA PARA ALARGADERA DE OXÍGENO;5;10;CONEXION RCT ESCALONADA PEQ
M09/B03/00;2200684;CONO P/DRENAJE O BRICKER;4;8;BOQUILLA FLEX UNIV P/CATETERES Y SONDAS
VERTEDERO;2139408;CONTENEDOR ASPIRADOR;1;2;CONT P/ BLS REGD DE LIQ 1,5L
VERTEDERO;2142343;CONTENEDOR BIOCOMPACT 1,8L AMRILLO;10;20;CONT BIOCOMPACT 1,8L BIO AMRLL
VERTEDERO;2261759;CONTENEDOR BIOCOMPACT 10L AMRILLO;5;10;CONT BIOCOMPACT 10L BIO AMRLL
VERTEDERO;2341502;CONTENEDOR 30L AMARILLO;2;4;CONT BIOTREX BIOL AMRLL 30L
VERTEDERO;2341504;CONTENEDOR 30L AZUL MEDICACIÓN CADUCADA;2;4;CONT BIOTREX MEDICACION AZL 30L
VERTEDERO;2341500;CONTENEDOR 30L ROJO RESÍDUOS BIOLÓGICOS;2;4;CONT BIOTREX CITOSTATICOS ROJO 30L
EST5-4;2256036;CONTENEDOR DESECHABLE ASPIRADOR;35;70;BLS P/ FRSC ASPIRACION FLUIDOS 1,5L
M07/B05/00;2345053;CONTENEDOR DRENAJE VACUM SMITH & NEPHEW;2;4;CONT DREN EDGE PRES..SOLIDIFICADOR 300ML
M09/B04/00;2142302;CONTENEDOR MUESTRA 150ML ANACLIN TAPÓN ROJO;30;60;CONT TAPA ROJA 100-150ML
M09/B05/00;2142308;CONTENEDOR MUESTRA ORINA 100ML TAPÓN AMARILLO;10;20;CONT REGD ORINA DIS..APA AMRLL EST 100ML
VERTEDERO;2142299;CONTENEDOR ORINA 24H 3L;2;4;CONT ORINA 24H C/VALVULA VACIO 3L
VERTEDERO;2142304;CONTENEDOR ORINA TRANSPARENTE 2L;2;4;CONT ORINA TRANSPARENTE 2L
M04/B01/00;2140160;CONTENEDOR PLEUREVAC SELLADO DE AGUA;2;4;CAM COLECTORA P/ DREN TORACICO SECA
OFICINA;1102013;CORRECTOR CINTA;10;20;CORRECTOR MANUAL LI.. DE ESCRITURA 4,2MM
OFICINA;1102244;CUADERNO ESPIRAL CUADRICULADAS A5;2;4;CUADERNO ESPRL 80 H..DRICULADAS 4-5MM A5
LENCERIA;5215632;CUCHARA DESECHABLE;50;100;CUCHARA DESECH MAIZ 160MM
M16/B06/00;2144112;CURETA DERMATOLOGICA;2;4;CURETA DERMATOLOGICA 4MM
M18/B06;2100834;CVC FEMORAL 4 LUCES 30CM;40;CALLE;CATETER VENOSO CENTRAL YUGULAR/SUBCLAVIA 4LUCES 8F 30CM
M18/B06;2222856;CVC YUGULAR 2 LUCES;10;CALLE;CATETER VENOSO CENTRAL YUGULAR/SUBCLAVIA 2 LUCES C/SEGURIDAD 7F 20CM
M18/B05;2311413;CVC YUGULAR 3 LUCES ALTO FLUJO;10;CALLE;EQUIPO CATETER VENOSO CENTRAL ALTO FLUJO RECUBRIMIENTO ANTISEPTICO 3 LUCES 7F 20CM
M18/B05;2311414;CVC YUGULAR 4 LUCES ALTO FLUJO;10;CALLE;EQUIPO CATETER VENOSO CENTRAL ALTO FLUJO RECUBRIMIENTO ANTISEPTICO 4 LUCES 8,5F 20CM
VERTEDERO;2281030;DELANTAL PLÁSTICO;100;200;DELANTAL PLAST SENCILLO K19
M16/B02/00;2147144;DEPRESOR MADERA COMÚN;100;200;DEPRESOR MADERA
M16/B02/00;2147141;DEPRESOR PLÁSICO ESTÉRIL;10;20;DEPRESOR PLAST
VERTEDERO;2242028;DESINFECTANTE INSTRUMENTAL SPRAY ESPUMA 750ML;5;10;DESINFECTANTE INSTR..IES EN ESPUMA 750ML
VERTEDERO;2256111;DETERGENTE MULTIENZIMATICO 1L;1;2;DETERGENTE MULTIENZ..A C/ DOSIFICADOR 1L
VERTEDERO;5034805;DETERJENTE LAVAVAJILLAS FAIRY;2;4;JABON DETERGENTE LIQ 1,5L
M08/B07/00;2233956;DISCO OSTOMÍA 40MM;5;10;DISCO OSTOMIA EXTRA..40MM ESTOMA 10-35MM
M08/B09;2233954;DISCO OSTOMIA 50 MM;5;CALLE;DISCO OSTOMIA CONVEXO RECORTABLE ARO 50MM ESTOMA 15-33MM
M08/B10/00;2233957;DISCO OSTOMÍA 50MM;5;10;DISCO OSTOMIA EXTRA..50MM ESTOMA 10-45MM
M08/B12/00;2233958;DISCO OSTOMÍA 60MM;5;10;DISCO OSTOMIA EXTRA..60MM ESTOMA 10-55MM
M11/B08/00;2138789;DOSIFLOW MEDIDOR FLUJO EQUIPO INTRAVENOSO;30;60;MEDIDOR FL P/ ADMINISTR. INTRAVENOSA
M07/B03/00;2239904;DRENAJE FUELLE 500ML;4;8;DREN REDON BJ VACIO 500ML
M07/B03/00;2239905;DRENAJE FUELLE 50ML FAROLILLO;2;4;DREN REDON BJ VACIO 50ML
M07/B04/00;2140220;DRENAJE JACKSON-PRATT JP 400ML;2;4;RESERV DREN SIL 400ML
M07/B04/00;2140115;DRENAJE REDON BOTELLA 600ML;2;4;DREN REDON ALTO VACIO 600ML
M04/B03/00;2140154;DRENAJE TORÁCICO CON TROCAR 20F;1;2;DREN TORACICO C/TROCAR 20F 40CM
M04/B03/00;2347881;DRENAJE TORÁCICO CON TROCAR 24F;1;2;S.M.R.ST MUL ANTIBA..I INV 19MM 3/0 45CM
M04/B03/00;2140156;DRENAJE TORÁCICO CON TROCAR 28F;1;2;DREN TORACICO C/TROCAR 28F 40CM
M10/B09/00;2147291;ELECTRODOS EKG;240;480;ELECT ECG ADH RED ADU 6CM
EST4-2;2143968;EMPAPADOR;300;600;EMPAPADOR ABSORBENTE >900ML 60X90CM
M13/B01/00;2347990;EQUIPO BOMBA PCA EPIDURAL CADD AMARILLO NRFIT;12;CALLE;EQ BMB INF ANEST EP..ONEXION NRFIT 312CM
M13/B01/00;2220906;EQUIPO BOMBA PCA INTRAVENOSA CADD BLANCO;5;10;EQ INF BMB DLR ANEST 198CM
M13/B02/00;2139229;EQUIPO BOMBEO TRANSFUSIÓN DE SANGRE PERILLA;2;4;EQ SANGRE BOMBEO RAP
M11/B03/00;2138783;EQUIPO CALENTADOR SANGRE;2;4;CARTUCHO P/ CALENTADOR SANGRE Y FLUIDOS
M13/B01/00;2331486;EQUIPO COMÚN TRANSFUSIÓN DE SANGRE;2;4;EQ TRANSFUSION SANGRE
M17/B07/00;2104278;EQUIPO DE EXTRACCIÓN CON AGUJA Y VACUTAINER;50;100;AGUJ EXTRAC C/SEG C/ALE PREMONT 23G 19CM
M10/B05/00;2256818;EQUIPO DE NUTRICIÓN ENTERAL INFINITY;8;16;ST NUTRICION ENTERA..GUR P/ BMB INFINITY
