Ubicación;Código;MATERIAL;1 LECTURA;2 LECTURAS;DESCRIPCIÓN
M08/B10/00;2233957;DISCO OSTOMÍA 50MM;5;10;DISCO OSTOMIA EXTRA..50MM ESTOMA 10-45MM
M08/B10/00;2139472;BOLSA ILEOSTOMÍA ABIERTA 50MM;30;60;BLS ILEOST ABIERTA 50MM
M08/B11/00;2233947;BOLSA COLOSTOMÍA CERRADA 50MM;30;60;BLS COLOST TRANSPAR..50MM ESTOMA 10-35MM
M08/B12/00;2237523;BOLSA UROSTOMÍA 60MM;30;60;BLS UROSTOMIA TRANS..60MM ESTOMA 10-55MM
M08/B12/00;2233958;DISCO OSTOMÍA 60MM;5;10;DISCO OSTOMIA EXTRA..60MM ESTOMA 10-55MM
M08/B13/00;2244528;BOLSA ILEOSTOMÍA ABIERTA 60MM;30;60;BLS ILEOST TRANSPAR..60MM ESTOMA 10-55MM
M08/B13/00;2233948;BOLSA COLOSTOMÍA CERRADA 60MM;30;60;BLS COLOST TRANSPAR..60MM ESTOMA 10-35MM
M09/B01/00;2139614;SOPORTE GANCHO P/BOLSA DE ORINA;10;20;SOP BLS ORINA
M09/B03/00;2139544;BOLSA 100ML 1 PIEZA P/DRENAJE;20;40;BLS DREN TRANSPARENTE N/ EST 100ML
M09/B03/00;2138661;CONECTOR DRENAJE PIGTAIL O CATETER URETERAL;4;8;CONEXION P/ SND AJUSTABLE EST
M09/B03/00;2200684;CONO P/DRENAJE O BRICKER;4;8;BOQUILLA FLEX UNIV P/CATETERES Y SONDAS
M09/B03/00;2138890;TAPON SONDA VESICAL;10;20;TAPON SND VESICAL
M09/B04/00;2142302;CONTENEDOR MUESTRA 150ML ANACLIN TAPÓN ROJO;30;60;CONT TAPA ROJA 100-150ML
M09/B05/00;2111724;TUBO MUESTRA DE ORINA TAPÓN BEIGE;25;50;TB TRANSPORTE REGD ..NA TAPON BEIGE 11ML
M09/B05/00;2142308;CONTENEDOR MUESTRA ORINA 100ML TAPÓN AMARILLO;10;20;CONT REGD ORINA DIS..APA AMRLL EST 100ML
M09/B05/00;2112943;COMBURTEST TIRAS REACTIVAS ORINA;100;200;TIRA ORINA DET. 7 PARAMETROS
M09/B06/00;2206466;BOLSA ORINA PARA CAJETIN SIN GRIFO;150;300;BLS RECAMBIO S/GRIF..Q CTRL HORARIO 1,5L
M09/B08/00;2139423;BOLSA SNG;25;50;BLS ORINA/SECRECIONES N/ EST 2L
M09/B09/00;2139659;CAJETIN HORARIO ORINA BRAUN;8;16;ST MEDIDOR DIURESIS..S C/ GRIFO 2L 120CM
M10/B02/00;5161503;FILTRO REDONDO ASPIRADOR VACIO CONTINUO;10;20;FILTRO REGULADOR DE VACIO CONTINUO
M10/B02/00;2238876;SONDA NASOGASTRICA SNG 14;2;4;"SND NASOG ""SALEM"" R.. CERRADA CH14 120CM"
M10/B02/00;2238875;SONDA NASOGASTRICA SNG 18;2;4;"SND NASOG ""SALEM"" R.. CERRADA CH18 120CM"
M10/B02/00;2238393;SONDA NASOGASTRICA SNG 16;2;4;"SND NASOG ""SALEM"" R.. CERRADA CH16 120CM"
M10/B06/00;2142808;PAÑO ESTÉRIL CON ADHESIVO;40;80;PAÑO BORDE ADH 75X100CM
M10/B07/00;2142815;PAÑO ESTÉRIL sin ADHESIVO;15;30;PAÑO IMPERMEABLE EST S/ ADH 75X90CM
M10/B09/00;2143857;GEL ULTRASONIDOS (NO DESF);3;6;GEL CONDUCTOR HIDRO.. ULTRASONIDOS 250ML
M10/B09/00;2252720;PEGATINAS DESFIBRILADOR;2;4;ELECT P/ DSFIB ADU DESECH
M10/B09/00;2147291;ELECTRODOS EKG;240;480;ELECT ECG ADH RED ADU 6CM
M11/B01/00;2298391;MASCARILLA FFP2;100;200;MASC FFP2
M11/B02/00;2279617;MASCARILLA QUIRÚRGICA IIR;500;1.000;MASC QUIR TIPO IIR C/GOMAS
M11/B03/00;2138783;EQUIPO CALENTADOR SANGRE;2;4;CARTUCHO P/ CALENTADOR SANGRE Y FLUIDOS
M11/B04/00;2146749;LINTERNA;1;2;LINTERNA EXPLORACION
M11/B04/00;2138535;AGUJA P/VACUTAINER;200;400;ADPT TB EXTRAC
M11/B04/00;2146983;TERMOMETRO DIGITAL;3;6;TERMOMETRO DIGITAL
M11/B04/00;5033311;PILA BOTON DE LITIO RF.CR-2032;2;4;PILA BOTON DE LITIO RF.CR-2032
M11/B04/00;5033330;PILA ALCALINA LR-14 1,5 V.;1;2;PILA ALCALINA LR-14 1,5 V.
M11/B04/00;1102392;PILA RECT 9V ALCALINA 6LR61;1;2;PILA RECT 9V ALCALINA 6LR61
M11/B04/00;5209110;REGLETA ESCALA DOLOR;2;4;ESCALA EVA MED DLR
M11/B04/00;1102390;PILA CIL ALCALINA 1,5 V LR03;12;24;PILA CIL ALCALINA 1,5 V LR03
M11/B05/00;5209634;ETIQUETAS MIDAZOLAM;500;1.000;ETIQ ADH MIDAZOLAM 44X13MM R/500
M11/B05/00;2255471;CONECTOR P/JERINGA ENFIT NUTRICIÓN ENTERAL;10;20;CONECT JERINGA NUTR..ER A CONEXION ENFIT
M11/B05/00;5209631;ETIQUETAS FENTANILO;500;1.000;ETIQ ADH FENTANILO 44X13MM R/500
M11/B05/00;5209630;ETIQUETAS MORFINA;500;1.000;ETIQ ADH MORFINA 44X13MM R/500
M11/B05/00;5209508;ETIQUETAS ROCURONIO;500;1.000;ETIQ ADH ROCURONIO 44X13MM R/500
